,Medal,Beer Name,Brewery,City,State,County,Category,Year
240,Gold,Shoshone Stout,Glenwood Canyon Brewing Co.,Glenwood Springs,CO,Garfield,Oatmeal Stout,2018
241,Silver,Oats,Pizza Port Solana Beach,Solana Beach,CA,San Diego,Oatmeal Stout,2018
242,Bronze,Wall of Sound,Stereo Brewing Co.,Placentia,CA,Orange,Oatmeal Stout,2018
243,Gold,Drunkard's Cloak,Banded Oak Brewing Co.,Denver,CO,Denver,Old Ale or Strong Ale,2018
244,Silver,Old Scrooge,Silver City Brewery,Bremerton,WA,Kitsap,Old Ale or Strong Ale,2018
245,Bronze,Rail Gun Wee Heavy,BNS Brewing & Distilling Co.,Santee,CA,San Diego,Old Ale or Strong Ale,2018
246,Gold,Sawtooth Ale,Left Hand Brewing Co.,Longmont,CO,Boulder,Ordinary or Special Bitter,2018
247,Silver,Copperline Amber Ale,Carolina Brewery - Chapel Hill,Pittsboro,NC,Chatham,Ordinary or Special Bitter,2018
248,Bronze,Saint Arnold Amber Ale,Saint Arnold Brewing Co.,Houston,TX,Harris,Ordinary or Special Bitter,2018
249,Gold,Pour le Mineur,Corridor Brewery & Provisions,Chicago,IL,Cook,Other Belgian-Style Ale,2018
250,Silver,Call of the Void,Original Pattern Brewing Co.,Oakland,CA,Alameda,Other Belgian-Style Ale,2018
251,Bronze,Red Devil,Printer's Ale Manufacturing Co.,Carrollton,GA,Carroll,Other Belgian-Style Ale,2018
252,Gold,Golden Prairie Doppel Alt,Argus Brewery,Chicago,IL,Cook,Other Strong Beer,2018
253,Silver,False Hope,Spilled Grain Brewhouse,Annandale,MN,Wright,Other Strong Beer,2018
254,Bronze,Lampshade Porter,Starr Brothers Brewing Co.,Albuquerque,NM,Bernalillo,Other Strong Beer,2018
255,Gold,Gordgeous,NoDa Brewing Co. - NE,Charlotte,NC,Mecklenburg,Pumpkin/Squash Beer or Pumpkin Spice Beer,2018
256,Silver,Whole Hog Pumpkin Ale,Stevens Point Brewery,Stevens Point,WI,Portage,Pumpkin/Squash Beer or Pumpkin Spice Beer,2018
257,Bronze,5 Phantoms Pumpkin Spice Barleywine,Philipsburg Brewing Co. - The Vault,Philipsburg,MT,Granite,Pumpkin/Squash Beer or Pumpkin Spice Beer,2018
258,Gold,Lomporter,Lompoc Brewing - The 5th Quadrant,Portland,OR,Multnomah,Robust Porter,2018
259,Silver,Porter,Founders Brewing Co.,Grand Rapids,MI,Kent,Robust Porter,2018
260,Bronze,Ghost Rider Porter,Big Ugly Brewing Co.,Chesapeake,VA,Chesapeake (city),Robust Porter,2018
261,Gold,Rye Dawn,Breakwater Brewing Co.,Oceanside,CA,San Diego,Rye Beer,2018
262,Silver,Unite the Clans,Third Space Brewing,Milwaukee,WI,Milwaukee,Rye Beer,2018
263,Bronze,Rise Up Rye,Gun Hill Brewing Co.,Bronx,NY,Bronx,Rye Beer,2018
264,Gold,Real Heavy,Real Ale Brewing Co.,Blanco,TX,Blanco,Scotch Ale,2018
265,Silver,Skag,6th and La Brea,Los Angeles,CA,Los Angeles,Scotch Ale,2018
266,Bronze,Kilt Switch,903 Brewers,Sherman,TX,Grayson,Scotch Ale,2018
267,Gold,Taildragger Clan-Destine,Saddle Mountain Brewing Co.,Goodyear,AZ,Maricopa,Scottish-Style Ale,2018
268,Silver,Saint Arnold Oktoberfest,Saint Arnold Brewing Co.,Houston,TX,Harris,Scottish-Style Ale,2018
269,Bronze,It Takes a Tribe Red Ale,Goat Patch Brewing Co.,Colorado Springs,CO,El Paso,Scottish-Style Ale,2018
270,Gold,Natural Bridge: Vienna Lager,Eppig Brewing,San Diego,CA,San Diego,Session Beer,2018
271,Silver,Noble Miner,Burgeon Beer Co.,Carlsbad,CA,San Diego,Session Beer,2018
272,Bronze,Stonefly Session Ale,Three Creeks Production,Sisters,OR,Deschutes,Session Beer,2018
273,Gold,The Coachman,Societe Brewing Co.,San Diego,CA,San Diego,Session India Pale Ale,2018
274,Silver,Little Downtown Tom,Three Mile Brewing Co.,Davis,CA,Yolo,Session India Pale Ale,2018
275,Bronze,Mosaic Reprise,Little City Brewing Co.,Raleigh,NC,Wake,Session India Pale Ale,2018
276,Gold,St. Chuck's Smoke,Rogue Ales Issaquah Brewhouse,Issaquah,WA,King,Smoke Beer,2018
277,Silver,Pro-Pro Porter,Wormtown Brewery,Worcester,MA,Worcester,Smoke Beer,2018
278,Bronze,Raucher,Wolverine State Brewing Co.,Ann Arbor,MI,Washtenaw,Smoke Beer,2018
279,Gold,Civil Rest,Little Brother Brewing,Greensboro,NC,Guilford,South German-Style Hefeweizen,2018
280,Silver,Hoofer's Hef,Bankhead Brewing Co.,Rowlett,TX,Dallas,South German-Style Hefeweizen,2018
281,Bronze,Hefeweizen,Standard Deviant Brewing,San Francisco,CA,San Francisco,South German-Style Hefeweizen,2018
282,Gold,Graham Cracker Porter,Denver Beer Co. - Canworks,Denver,CO,Denver,Specialty Beer,2018
283,Silver,Double Stack,Great Notion Brewing,Portland,OR,Multnomah,Specialty Beer,2018
284,Bronze,I Did It All For The Cookie,FiftyFifty Brewing - Production Facility,Truckee,CA,Nevada,Specialty Beer,2018
285,Gold,Apricot Saison,105 West Brewing Co.,Castle Rock,CO,Douglas,Specialty Saison,2018
286,Silver,Sunken City,Insight Brewing Co.,Minneapolis,MN,Hennepin,Specialty Saison,2018
287,Bronze,Rustic Sunday,Birds Fly South Ale Project,Greenville,SC,Greenville,Specialty Saison,2018
288,Gold,Moozie,Brink Brewing Co.,Cincinnati,OH,Hamilton,Sweet Stout or Cream Stout,2018
289,Silver,Udder Love,Beachwood Brewing,Huntington Beach,CA,Orange,Sweet Stout or Cream Stout,2018
290,Bronze,Melk Stout,Columbus Brewing Co.,Columbus,OH,Franklin,Sweet Stout or Cream Stout,2018
291,Gold,Oktoberfest,SKA Brewing,Durango,CO,La Plata,Vienna-Style Lager,2018
292,Silver,13.Five Ofest,Blue Mountain Barrel House and Organic Brewery,Arrington,VA,Nelson,Vienna-Style Lager,2018
293,Bronze,Vienna Lager,Grains of Wrath Brewing,Camas,WA,Clark,Vienna-Style Lager,2018
294,Gold,Barrel Aged Japance Off,Denver Beer Co. - Olde Town Arvada,Arvada,CO,Jefferson,Wood- and Barrel-Aged Beer,2018
295,Silver,Redrum,Duck Foot Brewing Co.,San Diego,CA,San Diego,Wood- and Barrel-Aged Beer,2018
296,Bronze,beWILDering C,Ten Pin Brewing Co.,Moses Lake,WA,Grant,Wood- and Barrel-Aged Beer,2018
297,Gold,3 Barrel Circus,River Dog Brewing Co.,Bluffton,SC,Beaufort,Wood- and Barrel-Aged Sour Beer,2018
298,Silver,Duck Duck Gooze,Port Brewing Co. / The Lost Abbey,San Marcos,CA,San Diego,Wood- and Barrel-Aged Sour Beer,2018
299,Bronze,Oak-Aged Sour,Propolis Brewing,Port Townsend,WA,Jefferson,Wood- and Barrel-Aged Sour Beer,2018
300,Gold,Santa's Brass,Drake's Brewing Co.,San Leandro,CA,Alameda,Wood- and Barrel-Aged Strong Beer,2018
301,Silver,Willett Barrel-Aged Ye Old Sprinklerhead Barleywine,The Wrecking Bar Brewpub,Atlanta,GA,Fulton,Wood- and Barrel-Aged Strong Beer,2018
302,Bronze,Straight Jacket,Revolution Brewing,Chicago,IL,Cook,Wood- and Barrel-Aged Strong Beer,2018
303,Gold,70K Amburana,Against the Grain Brewery,Louisville,KY,Jefferson,Wood- and Barrel-Aged Strong Stout,2018
304,Silver,A Night to End All Dawns,Kane Brewing,Ocean,NJ,NOT KNOWN,Wood- and Barrel-Aged Strong Stout,2018
305,Bronze,Eclipse,FiftyFifty Brewing Co.,Truckee,CA,Nevada,Wood- and Barrel-Aged Strong Stout,2018
306,Gold,Quadtum Leap,Revelry Brewing Co.,Charleston,SC,Charleston,Aged Beer,2018
307,Silver,"Lock, Stock and Brandy Barrel",Maize Valley Craft Brewery,Hartville,OH,Stark,Aged Beer,2018
308,Bronze,Solzhenitsyn,Iron Hill Brewery & Restaurant - Media,Media,PA,Delaware,Aged Beer,2018
309,Gold,Whitewall Wheat,Crank Arm Brewing Co.,Raleigh,NC,Wake,American-Belgo-Style Ale,2018
310,Silver,#4.5 Dry Hopped Saison,Brown Truck Brewery,High Point,NC,Guilford,American-Belgo-Style Ale,2018
311,Bronze,Mischief,The Bruery,Placentia,CA,Orange,American-Belgo-Style Ale,2018
312,Gold,Pecos Amber Lager,Texas Beer Co.,Taylor,TX,Williamson,American-Style Amber Lager,2018
313,Silver,Märzen,Sudwerk Brewing Co.,Davis,CA,Yolo,American-Style Amber Lager,2018
314,Bronze,Oktoberfest,Lager Heads Brewing Co.,Medina,OH,Medina,American-Style Amber Lager,2018
315,Gold,West Coast Swing Amber,The Mitten Brewing Co.,Grand Rapids,MI,Kent,American-Style Amber/Red Ale,2018
316,Silver,Sepia Amber,Hopping Gnome Brewing Co.,Wichita,KS,Sedgwick,American-Style Amber/Red Ale,2018
317,Bronze,Avalon Amber Ale,Slack Tide Brewing Co.,Cape May Court House,NJ,Cape May,American-Style Amber/Red Ale,2018
318,Gold,Alpha Force Double Tap,Uberbrew,Billings,MT,Yellowstone,American-Style Black Ale,2018
319,Silver,Black the Riipper,Riip Beer Co.,Huntington Beach,CA,Orange,American-Style Black Ale,2018
320,Bronze,Midnight Moonlight,Fat Head's Brewery,Middleburg Heights,OH,Cuyahoga,American-Style Black Ale,2018
321,Gold,Davy Brown Ale,Figueroa Mountain Brewing,Buellton,CA,Santa Barbara,American-Style Brown Ale,2018
322,Silver,Groundswell Piloncillo Brown Ale,Groundswell Brewing Co.,Santee,CA,San Diego,American-Style Brown Ale,2018
323,Bronze,Wallops Island,Rocket Frog Brewing Co.,Sterling,VA,Loudoun,American-Style Brown Ale,2018
324,Gold,Gateway Cream Ale,Lockport Brewery,Bolivar,OH,Tuscarawas,American-Style Cream Ale,2018
325,Silver,Dayblazer Easygoing Ale,New Belgium Brewing Co. - Ft. Collins,Fort Collins,CO,Larimer,American-Style Cream Ale,2018
326,Bronze,El Sully,21st Amendment Brewery,San Leandro,CA,Alameda,American-Style Cream Ale,2018
327,Gold,Raspberry Twist Lager,Garage Brewing Co.,Temecula,CA,Riverside,American-Style Fruit Beer,2018
328,Silver,Cherry Blonde,Ignite Brewing Co.,Barberton,OH,Summit,American-Style Fruit Beer,2018
329,Bronze,Tropic Maelstrom,Peter B's Brewpub,Monterey,CA,Monterey,American-Style Fruit Beer,2018
330,Gold,Bine,Root Down Brewing Co.,Phoenixville,PA,Chester,American-Style India Pale Ale,2018
331,Silver,Not an IPA (P.S. it's an IPA),Appalachian Mountain Brewery - Portsmouth,Portsmouth,NH,Rockingham,American-Style India Pale Ale,2018
332,Bronze,West Coast IPA is Dead!,Green Cheek Beer Co.,Orange,CA,Orange,American-Style India Pale Ale,2018
333,Gold,Lager,Appalachian Mountain Brewery - Boone,Boone,NC,Watauga,American-Style Lager or American-Style Malt Liquor,2018
334,Silver,American Lager,Castle Island Brewing Co.,Norwood,MA,Norfolk,American-Style Lager or American-Style Malt Liquor,2018
335,Bronze,Lumino,Unsung Brewing Co.,Tustin,CA,Orange,American-Style Lager or American-Style Malt Liquor,2018
336,Gold,B.Right On Pale Ale,Ocean Beach Brewery,San Diego,CA,San Diego,American-Style Pale Ale,2018
337,Silver,Neighborhood,Ventura Coast Brewing Co.,Ventura,CA,Ventura,American-Style Pale Ale,2018
338,Bronze,Charlatan,Maplewood Brewing Co.,Chicago,IL,Cook,American-Style Pale Ale,2018
339,Gold,Rocket 100,The Austin Beer Garden Brewing Co.,Austin,TX,Travis,American-Style Pilsener,2018
340,Silver,NZ Pils,Wolverine State Brewing Co.,Ann Arbor,MI,Washtenaw,American-Style Pilsener,2018
341,Bronze,Howdy Beer,The Post Brewing Co.,Lafayette,CO,Boulder,American-Style Pilsener,2018
342,Gold,Kveik 1,Shades of Pale Brewery,Park City,UT,Summit,American-Style Sour Ale,2018
343,Silver,Brevity,Brewery Silvaticus,Amesbury,MA,Essex,American-Style Sour Ale,2018
344,Bronze,Wicked Shifty,Shoe Tree Brewing Co.,Carson City,NV,Carson City (city),American-Style Sour Ale,2018
345,Gold,Hooligan Stout,Old Schoolhouse Brewery,Winthrop,WA,Okanogan,American-Style Stout,2018
346,Silver,P2P,10 Barrel Brewing Co.,Bend,OR,Deschutes,American-Style Stout,2018
347,Bronze,Black Cliffs,Boise Brewing,Boise,ID,Ada,American-Style Stout,2018
348,Gold,Green Battles IPA,Pinthouse Pizza North,Austin,TX,Travis,American-Style Strong Pale Ale,2018
349,Silver,Easy Runaway,Old Schoolhouse Brewery,Winthrop,WA,Okanogan,American-Style Strong Pale Ale,2018
350,Bronze,Lucky Day,Central Coast Brewing Co. - Higuera St.,San Luis Obispo,CA,San Luis Obispo,American-Style Strong Pale Ale,2018
351,Gold,Sweet As Pacific Ale,GoodLife Brewing Co.,Bend,OR,Deschutes,American-Style Wheat Beer,2018
352,Silver,Goofy Footed,Escape Brewing Co.,Trinity,FL,Pasco,American-Style Wheat Beer,2018
353,Bronze,"Easy, Breezy, Beautiful",Cloudburst Brewing,Seattle,WA,King,American-Style Wheat Beer,2018
354,Gold,Miner's Gold,Lewis & Clark Brewing Co.,Helena,MT,Lewis and Clark,American-Style Wheat Beer with Yeast,2018
355,Silver,Fuzztail,Sunriver Brewing,Sunriver,OR,Deschutes,American-Style Wheat Beer with Yeast,2018
356,Bronze,Hefeweizen,Widmer Brothers Brewing,Portland,OR,Multnomah,American-Style Wheat Beer with Yeast,2018
357,Gold,Sunshine Express,Butcherknife Brewing Co.,Steamboat Springs,CO,Routt,Australian-Style Pale Ale,2018
358,Silver,Strata IPA,Worthy Brewing Co.,Bend,OR,Deschutes,Australian-Style Pale Ale,2018
359,Bronze,Flavor Country,Austin Beerworks,Austin,TX,Travis,Australian-Style Pale Ale,2018
360,Gold,Odin's Sword,Big Island Brewhaus,Kamuela,HI,NOT KNOWN,Baltic-Style Porter,2018
361,Silver,Death and the Maiden,Cambridge Brewing Co.,Cambridge,MA,Middlesex,Baltic-Style Porter,2018
362,Bronze,Bangor Slate Baltic Porter,Two Rivers Brewing Co.,Easton,PA,Northampton,Baltic-Style Porter,2018
363,Gold,Chicago Overcoat,Midnight Pig Beer,Plainfield,IL,Will,Barley Wine-Style Ale,2018
364,Silver,Barnacled Manatee,Walking Tree Brewery,Vero Beach,FL,Indian River,Barley Wine-Style Ale,2018
365,Bronze,Bear Temper,Trustworthy Brewing Co.,Burbank,CA,Los Angeles,Barley Wine-Style Ale,2018
366,Gold,5 Branches Biere de Garde,Munkle Brewing Co.,Charleston,SC,Charleston,Belgian- and French-Style Ale,2018
367,Silver,Biere de Garde,Blackberry Farm Brewery,Walland,TN,Blount,Belgian- and French-Style Ale,2018
368,Bronze,Abby Blonde,Thirsty Monk Pub Brewery,Denver,CO,Denver,Belgian- and French-Style Ale,2018
369,Gold,Jean-Claude Van Blond,Wit's End Brewing Co.,Denver,CO,Denver,Belgian-Style Blonde Ale or Pale Ale,2018
370,Silver,Singel,Hardywood West Creek,Richmond,VA,Richmond (city),Belgian-Style Blonde Ale or Pale Ale,2018
371,Bronze,Blonde Betty,Smuggler's Brewpub,Telluride,CO,San Miguel,Belgian-Style Blonde Ale or Pale Ale,2018
372,Gold,BJ's Quad,BJ's Restaurant & Brewery - Boulder,Boulder,CO,Boulder,Belgian-Style Dubbel or Quadrupel,2018
373,Silver,Kung Fu Smurf,Bastone Brewery,Royal Oak,MI,Oakland,Belgian-Style Dubbel or Quadrupel,2018
374,Bronze,Deduction,Taxman Brewing Co.,Bargersville,IN,Johnson,Belgian-Style Dubbel or Quadrupel,2018
375,Gold,Foxy Lady,Silver City Brewery,Bremerton,WA,Kitsap,Belgian-Style Fruit Beer,2018
376,Silver,Blood-Orange Wit,Great Basin Brewing Co. - Sparks,Sparks,NV,Washoe,Belgian-Style Fruit Beer,2018
377,Bronze,Kumquat Saison,Smog City Brewing Wood Cellar,Torrance,CA,Los Angeles,Belgian-Style Fruit Beer,2018
378,Gold,Funk Yeah,Beachwood Blendery,Long Beach,CA,Los Angeles,Belgian-Style Lambic or Sour Ale,2018
379,Silver,Triad,IMBIB Custom Brews,Reno,NV,Washoe,Belgian-Style Lambic or Sour Ale,2018
380,Bronze,I Am Only Memories,Orpheus Brewing,Atlanta,GA,Fulton,Belgian-Style Lambic or Sour Ale,2018
381,Gold,Midwatch,Figurehead Brewing Co.,Seattle,WA,King,Belgian-Style Strong Specialty Ale,2018
382,Silver,Qualified,Taxman Brewing Co.,Bargersville,IN,Johnson,Belgian-Style Strong Specialty Ale,2018
383,Bronze,Sol Hominis (The Sun Of Man),Save the World Brewing Co.,Marble Falls,TX,Burnet,Belgian-Style Strong Specialty Ale,2018
384,Gold,Tripel Carmel-ite,Flix Brewhouse - Carmel,Carmel,IN,Hamilton,Belgian-Style Tripel,2018
385,Silver,Belgian Tripel,Village Idiot Brewing Co.,Mount Holly,NJ,Burlington,Belgian-Style Tripel,2018
386,Bronze,Neighbor Girl,Paradigm Shift Brewing,Massillon,OH,Stark,Belgian-Style Tripel,2018
387,Gold,Biére Blanche,Pedal Haus Brewery,Tempe,AZ,Maricopa,Belgian-Style Witbier,2018
388,Silver,Optimal Wit,Port City Brewing Co.,Alexandria,VA,Alexandria (city),Belgian-Style Witbier,2018
389,Bronze,Allagash White,Allagash Brewing Co.,Portland,ME,Cumberland,Belgian-Style Witbier,2018
390,Gold,Baywindow,10 Barrel Brewing Co.,Bend,OR,Deschutes,Berliner-Style Weisse,2018
391,Silver,Germophile,Rowley Farmhouse Ales,Santa Fe,NM,Santa Fe,Berliner-Style Weisse,2018
392,Bronze,Nevada Weisse,IMBIB Custom Brews,Reno,NV,Washoe,Berliner-Style Weisse,2018
393,Gold,Guten Bock,Gilded Goat Brewing Co.,Fort Collins,CO,Larimer,Bock,2018
394,Silver,New Kids on Maibock,Independent Brewing Co.,Bel Air,MD,Harford,Bock,2018
395,Bronze,Blind Tiger Bock,Blind Tiger Brewery & Restaurant,Topeka,KS,Shawnee,Bock,2018
396,Gold,Bohemian Pilsner,Gordon Biersch Brewery Restaurant - Tysons Corner,Broomfield,CO,Broomfield,Bohemian-Style Pilsener,2018
397,Silver,Pompey's Pilsner,Lewis & Clark Brewing Co.,Helena,MT,Lewis and Clark,Bohemian-Style Pilsener,2018
398,Bronze,Bird Park,North Park Beer Co.,San Diego,CA,San Diego,Bohemian-Style Pilsener,2018
399,Gold,C'mon Sunshine,Birds Fly South Ale Project,Greenville,SC,Greenville,Brett Beer,2018
400,Silver,Terroir Pinot Gris,Alesong Brewing & Blending,Eugene,OR,Lane,Brett Beer,2018
401,Bronze,Touch of Brett Mandarina,Alesong Brewing & Blending,Eugene,OR,Lane,Brett Beer,2018
402,Gold,Maduro Brown Ale,Cigar City Brewing,Tampa,FL,Hillsborough,Brown Porter,2018
403,Silver,Brown Claw,Kern River Brewing Co.,Kernville,CA,Kern,Brown Porter,2018
404,Bronze,Knee-Knocker Porter,Crow Hop Brewing Co.,Loveland,CO,Larimer,Brown Porter,2018
405,Gold,White Legs Jalapeno Wheat,Tribute Brewing Co.,Eagle River,WI,Vilas,Chili Beer,2018
406,Silver,Chamuco,Künstler Brewing,San Antonio,TX,Bexar,Chili Beer,2018
407,Bronze,San Antonio Hatch Lager,Ranger Creek Brewery,San Antonio,TX,Bexar,Chili Beer,2018
408,Gold,Coco for Coxness,Copperpoint Brewing Co.,Boynton Beach,FL,Palm Beach,Chocolate Beer,2018
409,Silver,Genesee Brew House Pilot Batch DarkChocolate Scotch Ale,Genesee Brew House,Rochester,NY,Monroe,Chocolate Beer,2018
410,Bronze,Chocolate Macadamia Nut Stout,Kilowatt Brewing,San Diego,CA,San Diego,Chocolate Beer,2018
411,Gold,Pale Ale,Omission Brewing Co.,Portland,OR,Multnomah,Classic English-Style Pale Ale,2018
412,Silver,MacTarnahan’s Amber Ale,Portland Brewing Co.,Portland,OR,Multnomah,Classic English-Style Pale Ale,2018
413,Bronze,Prickly Pear,Lewis & Clark Brewing Co.,Helena,MT,Lewis and Clark,Classic English-Style Pale Ale,2018
414,Gold,Shooter McMunn's,Lost Rhino Brewing Co.,Ashburn,VA,Loudoun,Classic Irish-Style Dry Stout,2018
415,Silver,It's My Island,Pocock Brewing Co.,Santa Clarita,CA,Los Angeles,Classic Irish-Style Dry Stout,2018
416,Bronze,Know Ego,Groundswell Brewing Co.,Santee,CA,San Diego,Classic Irish-Style Dry Stout,2018
417,Gold,Saison,Bent Paddle Brewing Co.,Duluth,MN,St. Louis,Classic Saison,2018
418,Silver,One Arm Farmhouse Ale,Hobbs Tavern & Brewing Co.,West Ossipee,NH,NOT KNOWN,Classic Saison,2018
419,Bronze,Hayshaker,Gunwhale Ales,Costa Mesa,CA,Orange,Classic Saison,2018
420,Gold,Coffee Cream Ale,Kiitos Brewing,Salt Lake City,UT,Salt Lake,Coffee Beer,2018
421,Silver,Mystery Airship 4.0: Temple Cascara Golden Ale,New Helvetia Brewing Co.,Sacramento,CA,Sacramento,Coffee Beer,2018
422,Bronze,First Call,Modist Brewing Co.,Minneapolis,MN,Hennepin,Coffee Beer,2018
423,Gold,Speargun,Snake River Brewing Co.,Jackson,WY,Teton,Coffee Stout or Porter,2018
424,Silver,Breakfast Stout,Founders Brewing Co.,Grand Rapids,MI,Kent,Coffee Stout or Porter,2018
425,Bronze,Udder Chaos,RAM Restaurant & Brewery - Seattle,Seattle,WA,King,Coffee Stout or Porter,2018
426,Gold,Iron Horse Lager,Great American Restaurants - Sweetwater Tavern Centreville,Centreville,VA,Fairfax,Dark Lager,2018
427,Silver,The Bennie,Granite City Food & Brewery,Olathe,KS,Johnson,Dark Lager,2018
428,Bronze,Nighthawk,Enegren Brewing Co.,Moorpark,CA,Ventura,Dark Lager,2018
429,Gold,Grandpa Tractor,Barley Forge Brewing,Costa Mesa,CA,Orange,Dortmunder or German-Style Oktoberfest,2018
430,Silver,Freiheit Oktoberfest Wiesn,Wayfinder Beer,Portland,OR,Multnomah,Dortmunder or German-Style Oktoberfest,2018
431,Bronze,Figtoberfest,Figueroa Mountain Brewing - Westlake Village,Westlake Village,CA,Los Angeles,Dortmunder or German-Style Oktoberfest,2018
432,Gold,Midwest Red IPA,Masthead Brewing Co.,Cleveland,OH,Cuyahoga,Double Hoppy Red Ale,2018
433,Silver,Roundhouse,Bell's Eccentric Cafe,Kalamazoo,MI,Kalamazoo,Double Hoppy Red Ale,2018
434,Bronze,Bad Polaroid,Werk Force Brewing Co.,Plainfield,IL,Will,Double Hoppy Red Ale,2018
435,Gold,Get Up Offa That Brown,Golden Road Brewing - Los Angeles,Los Angeles,CA,Los Angeles,English-Style Brown Ale,2018
436,Silver,My Brown Eyed Girl,Thornapple Brewing Co.,Grand Rapids,MI,Kent,English-Style Brown Ale,2018
437,Bronze,No. 3 Brown,The Freehouse,Minneapolis,MN,Hennepin,English-Style Brown Ale,2018
438,Gold,Castillo IPA,Alaro Craft Brewery,Sacramento,CA,Sacramento,English-Style India Pale Ale,2018
439,Silver,Silverspot IPA,Pelican Brewing Co.,Pacific City,OR,Tillamook,English-Style India Pale Ale,2018
440,Bronze,Hoppy Poppy IPA,Figueroa Mountain Brewing,Buellton,CA,Santa Barbara,English-Style India Pale Ale,2018
441,Gold,Drift,First Magnitude Brewing Co.,Gainesville,FL,Alachua,English-Style Mild Ale,2018
442,Silver,Hold The Reins,Brink Brewing Co.,Cincinnati,OH,Hamilton,English-Style Mild Ale,2018
443,Bronze,Fools & Babies,Green Cheek Beer Co.,Orange,CA,Orange,English-Style Mild Ale,2018
444,Gold,Liquid AC,Karl Strauss Brewing Co. - La Jolla,La Jolla,CA,San Diego,English-Style Summer Ale,2018
445,Silver,Provider,Steel Toe Brewing,St. Louis Park,MN,NOT KNOWN,English-Style Summer Ale,2018
446,Bronze,Zest A Peel,Triple C Brewing,Charlotte,NC,Mecklenburg,English-Style Summer Ale,2018
447,Gold,Feral Brute,Firestone Walker Barrelworks,Buellton,CA,Santa Barbara,Experimental Beer,2018
448,Silver,Terroir Pinot Noir,Alesong Brewing & Blending,Eugene,OR,Lane,Experimental Beer,2018
449,Bronze,Chips & Salsa Cream Ale,Cogstone Brewing Co.,Colorado Springs,CO,El Paso,Experimental Beer,2018
450,Gold,Dissent,Steel Toe Brewing,St. Louis Park,MN,NOT KNOWN,Export Stout,2018
451,Silver,Malpais Stout,La Cumbre Brewing Co.,Albuquerque,NM,Bernalillo,Export Stout,2018
