Medal,Beer Name,Brewery,City,County,State,Category,Year,Total Category Entries
Bronze,Liberation Gluten Free,Shine Brewing Co.,Boulder,Boulder,CO,Gluten-Free Beer,2014,20
Bronze,Gold,Heavy Seas Beer,Baltimore,Baltimore (city),MD,Golden or Blonde Ale,2014,90
Bronze,Dawn Patrol Breakfast Stout,Coastal Empire Beer Co.,Savannah,Chatham,GA,Herb and Spice Beer,2014,150
Bronze,Poor Richard's Tavern Spruce,Yards Brewing Co.,Philadelphia,Neshoba,PA,Historical Beer,2014,21
Bronze,Pliny the Elder,Russian River Brewing Co.,Santa Rosa,Pima,CA,Imperial India Pale Ale,2014,135
Bronze,Shark Attack,Port Brewing Co.,San Marcos,San Diego,CA,Imperial Red Ale,2014,62
Bronze,Narwhal Imperial Stout,Sierra Nevada Brewing Co.,Chico,Butte,CA,Imperial Stout,2014,78
Bronze,Sage Fight IPA,Deschutes Brewery,Bend,Tehama,OR,Indigenous/Regional Beer,2014,31
Bronze,The Pupil,Societe Brewing Co.,San Diego,San Diego,CA,International-Style Pale Ale,2014,88
Bronze,"""Hydraulion"" Red",Three Notch'd Brewing Co.,Charlottesville,Charlottesville (city),VA,Irish-Style Red Ale,2014,60
Bronze,18th Rebellion,Horse Thief Hollow,Chicago,Cook,IL,Kellerbier or Zwickelbier,2014,48
Bronze,Stammtisch Lager,Titletown Brewing Co.,Green Bay,Brown,WI,Munich-Style Helles,2014,50
Bronze,Backside Stout,Steamworks Brewing Co.,Durango,La Plata,CO,Oatmeal Stout,2014,55
Bronze,Good Faith,Discretion Brewing,Soquel,Santa Cruz,CA,Old Ale or Strong Ale,2014,32
Bronze,Wisco Disco,Stillmank Brewing Co.,Green Bay,Brown,WI,Ordinary or Special Bitter,2014,38
Bronze,Darth Delirium,Broken Tooth Brewing,Anchorage,Anchorage,AK,Other Belgian-Style Ale,2014,26
Bronze,Aphotic Imperial Porter,High Water Brewing,Chico,Butte,CA,Other Strong Beer,2014,43
Bronze,Whole Hog Pumpkin Ale,Stevens Point Brewery,Stevens Point,Portage,WI,Pumpkin Beer,2014,52
Bronze,Peck's Porter,Tapistry Brewing Co.,Bridgman,Berrien,MI,Robust Porter,2014,83
Bronze,Rockchuck Rye,Lander Brewing Co.,Lander,Fremont,WY,Rye Beer,2014,83
Bronze,Highland Marauder,Morgan Territory Brewing,Antioch,Contra Costa,CA,Scotch Ale,2014,47
Bronze,McGreagor Scottish Ale,Kootenai River Brewing Co.,Bonners Ferry,Boundary,ID,Scottish-Style Ale,2014,51
Bronze,Mosaic Session Ale,Karl Strauss Brewing Co. - La Jolla,La Jolla,San Diego,CA,Session Beer,2014,94
Bronze,Alaskan Smoked Porter 2013,Alaskan Brewing Co.,Juneau,Juneau,AK,Smoke Beer,2014,55
Bronze,Washout Wheat,Holy City Brewing,Charleston,Franklin,SC,South German-Style Hefeweizen,2014,89
Bronze,Nutcase Peanut Butter Porter,Listermann/Triple Digit Brewing Co.,Cincinnati,Appanoose,OH,Specialty Beer,2014,47
Bronze,Blue Moon Honey Grand Cru,Blue Moon Brewing Co.,Denver,Denver,CO,Specialty Honey Beer,2014,56
Bronze,Outlaw Milk Stout,Great Basin Brewing Co. - Reno,Reno,Grady,NV,Sweet Stout or Cream Stout,2014,64
Bronze,VTwin,Motorworks Brewing,Bradenton,Manatee,FL,Vienna-Style Lager,2014,48
Bronze,Reintarnation,Ei8ht Ball Brewing,Newport,Jackson,KY,Wood- and Barrel-Aged Beer,2014,64
Bronze,"Yazoo Embrace the Funk ""Cherry Deux Rouges""",Yazoo Brewing Co.,Nashville,Howard,TN,Wood- and Barrel-Aged Sour Beer,2014,65
Bronze,Buffalo Bock,Minneapolis Town Hall Brewery,Minneapolis,Ottawa,MN,Wood- and Barrel-Aged Strong Beer,2014,107
Bronze,Jaguar Shark,Pinthouse Pizza Craft Brewpub,Austin,Lonoke,TX,Wood- and Barrel-Aged Strong Stout,2014,109
Gold,Big Deluxe,Ritual Brewing Co.,Redlands,San Bernardino,CA,Aged Beer,2015,38
Gold,Le Freak,Green Flash Brewing Co.,San Diego,San Diego,CA,American-Belgo-Style Ale,2015,71
Gold,Auburn Lager,Mad Anthony Brewing Co.,Fort Wayne,Allen,IN,American-Style Amber Lager,2015,48
Gold,Immersion Amber Ale,Two Beers Brewing Co.,Seattle,King,WA,American-Style Amber/Red Ale,2015,94
Gold,Midnight Moonlight,Fat Head's Brewery - N. Olmstead,North Olmsted,Cuyahoga,OH,American-Style Black Ale,2015,54
Gold,1623 Almighty Brown Ale,7th Settlement Brewery,Dover,Pope,NH,American-Style Brown Ale,2015,85
Gold,Rainier Lager,Pabst Brewing Co.,Los Angeles,Los Angeles,CA,American-Style Cream Ale,2015,56
Gold,Lagerithm,Bottle Logic Brewing,Anaheim,Orange,CA,American-Style Dark Lager,2015,21
Gold,Chchchch-Cherry Bomb,Melvin Brewing,Jackson,Clarke,WY,American-Style Fruit Beer,2015,87
Gold,Revolver IPA,BNS Brewing & Distilling Co.,Santee,San Diego,CA,American-Style India Pale Ale,2015,336
Gold,Coors Banquet,Coors Brewing Co.,Golden,Jefferson,CO,American-Style Lager or Light Lager,2015,55
