Medal,Beer Name,Brewery,City,County,State,Category,Year,Total Category Entries
Silver,Choc Lobster,Dogfish Head Brewings & Eats,Rehoboth Beach,Sussex,DE,Indigenous/Regional Beer,2014,31
Silver,Summer Ale,Fremont Brewing Co.,Seattle,King,WA,International-Style Pale Ale,2014,88
Silver,Piper Down,Ballast Point Brewing & Spirits - Scripps Ranch,San Diego,San Diego,CA,Irish-Style Red Ale,2014,60
Silver,Surfliner Lager,Figueroa Mountain Brewing Co. - Santa Barbara,Santa Barbara,Santa Barbara,CA,Kellerbier or Zwickelbier,2014,48
Silver,Saint Arnold Summer Pils,Saint Arnold Brewing Co.,Houston,Matanuska-Susitna,TX,Munich-Style Helles,2014,50
Silver,Darkside of the Pint,Four Seasons Brewing Co.,Latrobe,Westmoreland,PA,Oatmeal Stout,2014,55
Silver,Old Scrooge,Silver City Brewery,Bremerton,Kitsap,WA,Old Ale or Strong Ale,2014,32
Silver,Cutthroat,Uinta Brewing Co.,Salt Lake City,Salt Lake,UT,Ordinary or Special Bitter,2014,38
Silver,La Querelle,Mystery Brewing Co.,Hillsborough,San Mateo,NC,Other Belgian-Style Ale,2014,26
Silver,Shadow of the Moon Imperial Stout,Flossmoor Station Brewing Co.,Flossmoor,Cook,IL,Other Strong Beer,2014,43
Silver,Spiced Harvest,Old Dominion Brewing Co.,Dover,Pope,DE,Pumpkin Beer,2014,52
Silver,Porter,Founders Brewing Co.,Grand Rapids,Kent,MI,Robust Porter,2014,83
Silver,Rye of the Tiger,Iron Hill Brewery & Restaurant - Media,Media,Henderson,PA,Rye Beer,2014,83
Silver,Loch,BRU Handbuilt Ales & Eats,Boulder,Boulder,CO,Scotch Ale,2014,47
Silver,Back Country Scottish Ale,Lewis & Clark Brewing Co.,Helena,Shelby,MT,Scottish-Style Ale,2014,51
Silver,Guillaume,Pizza Port Ocean Beach,Ocean Beach,Suffolk,CA,Session Beer,2014,94
Silver,Smokejumper Smoked Imperial Porter,Left Hand Brewing Co.,Longmont,Boulder,CO,Smoke Beer,2014,55
Silver,Hefeweizen,Black Market Brewing Co.,Temecula,Riverside,CA,South German-Style Hefeweizen,2014,89
Silver,Maple Tripple Ale,Lawson's Finest Liquids,Warren,Bradley,VT,Specialty Beer,2014,47
Silver,Mexican Honey,Indeed Brewing Co.,Minneapolis,Ottawa,MN,Specialty Honey Beer,2014,56
Silver,Milk Stout,Left Hand Brewing Co.,Longmont,Boulder,CO,Sweet Stout or Cream Stout,2014,64
Silver,Gumps,Platt Park Brewing Co.,Denver,Denver,CO,Vienna-Style Lager,2014,48
Silver,Private Stock #472,Bastone Brewery,Royal Oak,Talbot,MI,Wood- and Barrel-Aged Beer,2014,64
Silver,Recolte Du Bois - Apricot,Tahoe Mountain Brewing Co. - Truckee,Truckee,Nevada,CA,Wood- and Barrel-Aged Sour Beer,2014,65
Silver,Barrel Aged 666: Sympathy for the Devil,Sun King Brewery,Indianapolis,Marion,IN,Wood- and Barrel-Aged Strong Beer,2014,107
Silver,Bourbon Barrel Aged Dark Star,Fremont Brewing Co.,Seattle,King,WA,Wood- and Barrel-Aged Strong Stout,2014,109
Bronze,Brother Dewey's Date Night,College Street Brewhouse & Pub,Lake Havasu City,Mohave,AZ,Aged Beer,2014,22
Bronze,Le Freak,Green Flash Brewing Co.,San Diego,San Diego,CA,American-Belgo-Style Ale,2014,69
Bronze,Rocket Bike Lager,Moab Brewery,Moab,Grand,UT,American-Style Amber Lager,2014,52
Bronze,Rocco Red Ale,Bootlegger's Brewery,Fullerton,Orange,CA,American-Style Amber/Red Ale,2014,140
Bronze,Turmoil,Barley Brown's Brew Pub,Baker City,Baker,OR,American-Style Black Ale,2014,72
Bronze,Curiosity No. 2,Creature Comforts Brewing Co.,Athens,Limestone,GA,American-Style Brett Beer,2014,44
Bronze,Upslope Brown Ale,Upslope Brewing Co.,Boulder,Boulder,CO,American-Style Brown Ale,2014,81
Bronze,Colorado Cream Ale,Station 26 Brewing Co.,Denver,Denver,CO,American-Style Cream Ale,2014,43
Bronze,Shiner Bock,Spoetzl Brewery,Shiner,Lavaca,TX,American-Style Dark Lager,2014,19
Bronze,Apricot,Dry Dock Brewing Co. - North Dock,Aurora,Adams,CO,American-Style Fruit Beer,2014,56
Bronze,Bodhi,Columbus Brewing Co.,Columbus,Muscogee,OH,American-Style India Pale Ale,2014,279
Bronze,Coors Banquet,Coors Brewing Co.,Golden,Jefferson,CO,American-Style Lager or Light Lager,2014,32
Bronze,Remain In Light,Cambridge Brewing Co.,Cambridge,Washington,MA,American-Style or International-Style Pilsener,2014,41
Bronze,Reef Donkey APA,Tampa Bay Brewing Co.,Tampa,Hillsborough,FL,American-Style Pale Ale,2014,145
Bronze,Los Innovadores Kriek,Santa Fe Brewing Co.,Santa Fe,Alachua,NM,American-Style Sour Ale,2014,56
