id,Medal,Beer Name,Brewery,City,County,State,Category,Year,Total Category Entries
166,Bronze,Bam Biere,Jolly Pumpkin Artisan Ales,Dexter,Laurens,MI,Session Beer,2009,27
167,Bronze,FiftyFifty Imperial Stout,FiftyFifty Brewing Co.,Truckee,Nevada,CA,Other Strong Beer,2009,44
168,Bronze,Brabant,Avery Brewing Co.,Boulder,Boulder,CO,Experimental Beer,2009,32
169,Bronze,S1NIST0R Black Ale,10 Barrel Brewing Co.,Bend,Tehama,OR,Out of Category – Traditionally Brewed Beer,2009,82
170,Bronze,Celia IPA,The Alchemist,Waterbury,New Haven,VT,Gluten Free Beer,2009,10
171,Bronze,Temperance,Mountain Sun Pub and Brewery,Boulder,Boulder,CO,American Belgo Style Ale,2009,51
172,Bronze,Diamond Kings ‘09,Brugge Brasserie,Indianapolis,Marion,IN,American Style Sour Ale,2009,32
173,Bronze,Red Brick Anniversary Ale 15,Red Brick-Atlanta Brewing Co.,Atlanta,Columbia,GA,Wood  and Barrel Aged Beer,2009,33
174,Bronze,Duck-Rabbit Barrel Aged Baltic Porter,The Duck-Rabbit Craft Brewery Inc.,Farmville,Pitt,NC,Wood  and Barrel Aged Strong Beer,2009,110
175,Bronze,Phruit Phunk,Nodding Head Brewing Co.,Philadelphia,Neshoba,PA,Wood  and Barrel Aged Sour Beer,2009,45
176,Bronze,Winterfest 2008,Utah Brewers Co-op,Salt Lake City,Salt Lake,UT,Aged Beer,2009,32
177,Bronze,Red Rock Organic Zwickel Bier,Red Rock Brewing Co.,Salt Lake City,Salt Lake,UT,Kellerbier/Zwickelbier,2009,27
178,Bronze,Diesel Imperial Smoked Porter,21st Amendment Brewery,San Francisco,San Francisco,CA,Smoked Beer,2009,43
179,Bronze,Gold Mountain Pilsner,Silver City Brewery,Silverdale,Cowley,WA,International Style Pilsener,2009,13
180,Bronze,Troegs Sunshine Pils,Troegs Brewing Co.,Harrisburg,Poinsett,PA,German Style Pilsener,2009,48
181,Bronze,Bell’s Lager Beer,Bell’s Brewery Inc.,Galesburg,Knox,MI,Bohemian Style Pilsener,2009,39
182,Bronze,Gordon Biersch Golden Export,Gordon Biersch Brewery Restaurant Group,Broomfield,Broomfield,CO,Munich Style Helles,2009,31
