,Medal,Beer Name,Brewery,City,State,Category,Year
161,Bronze,Zoned AG Golden Raspberry,Corralitos Brewing Co.,Watsonville,CA,Fruited Wood- and Barrel-Aged Sour Beer,2018
162,Gold,Legendary Red,Golden City Brewery,Golden,CO,German-Style Altbier,2018
163,Silver,Little Red Cap,Grimm Brothers Brewhouse,Loveland,CO,German-Style Altbier,2018
164,Bronze,Alt 1848,Utepils Brewing Co.,Minneapolis,MN,German-Style Altbier,2018
165,Gold,Smooth Like Jazz,Revelry Brewing Co.,Charleston,SC,German-Style Doppelbock or Eisbock,2018
166,Silver,Delaminator Doppelbock,Rip Current Brewery,San Marcos,CA,German-Style Doppelbock or Eisbock,2018
167,Bronze,St. Nigels' Doppelbock,Front Range Brewing Co.,Lafayette,CO,German-Style Doppelbock or Eisbock,2018
168,Gold,Colorado Kölsch,Steamworks Brewing Co.,Durango,CO,German-Style Koelsch,2018
169,Silver,Kascadia,54° 40' Brewing Co.,Washougal,WA,German-Style Koelsch,2018
170,Bronze,Veedels Bräu,Crooked Lane Brewing Co.,Auburn,CA,German-Style Koelsch,2018
171,Gold,Oktoberfest,Rahr & Sons Brewing Co.,Fort Worth,TX,German-Style Maerzen,2018
172,Silver,Oktoberfest,RAM Restaurant and Brewery - Lakewood,Lakewood,WA,German-Style Maerzen,2018
173,Bronze,Oktoberfest,Oak Highlands Brewery,Dallas,TX,German-Style Maerzen,2018
174,Gold,Netflix and Pils,Cannonball Creek Brewing Co.,Golden,CO,German-Style Pilsener,2018
175,Silver,Pilsner,pFriem Family Brewers,Hood River,OR,German-Style Pilsener,2018
176,Bronze,Pilsner,Ardent Craft Ales,Richmond,VA,German-Style Pilsener,2018
177,Gold,Bananenhängematte,FiftyFifty Brewing - Production Facility,Truckee,CA,German-Style Wheat Ale,2018
178,Silver,Alviso Mills Hefeweizen,Santa Clara Valley Brewing,San Jose,CA,German-Style Wheat Ale,2018
179,Bronze,Doppel BLUR,Circle Brewing Co.,Austin,TX,German-Style Wheat Ale,2018
180,Gold,Puckerberry,High Hops Brewery,Windsor,CO,Gluten-Free Beer,2018
181,Silver,Aurochs Blonde Ale,Aurochs Brewing Co.,Emsworth,PA,Gluten-Free Beer,2018
182,Bronze,Dark Ale,Ground Breaker Brewing,Portland,OR,Gluten-Free Beer,2018
183,Gold,MadeWest Standard,MadeWest Brewing Co.,Ventura,CA,Golden or Blonde Ale,2018
184,Silver,1956 Golden Ale,Bootstrap Brewing Co.,Niwot,CO,Golden or Blonde Ale,2018
