,Medal,Beer Name,Brewery,City,State,Category,Year
4106,Silver,Sinners Stout,Angelic Brewing Co.,Madison,WI,British Stout,2003
4107,Bronze,Cowabunga Cream Stout,Pizza Port - Solana Beach,Solana Beach,CA,British Stout,2003
4108,Silver,Sweetwater Exodus Porter,Sweetwater Brewing Co.,Atlanta,GA,Brown Porter,2003
4109,Bronze,Prince William Porter,Moose's Tooth Brewing Co.,Anchorage,AK,Brown Porter,2003
4110,Gold,Starr Hill Pale Ale,Starr Hill Brewing Co. ,Charlottesville,VA,Classic English Style Pale Ale ,2003
4111,Silver,Pale Ale,Diamond Bear Brewing Co.,Little Rock,AR,Classic English Style Pale Ale ,2003
4112,Bronze,Custer's Last Ale,Snake River Brewing Co.,Jackson,WY,Classic English Style Pale Ale ,2003
4113,Gold,Blarney Sister's Dry Irish Stout,Third Street AleWorks,Santa Rosa,CA,Classic Irish-Style Dry Stout ,2003
4114,Silver,Seaside Stout,Pizza Port - Solana Beach,Solana Beach,CA,Classic Irish-Style Dry Stout ,2003
4115,Bronze,Storm Castle Irish Stout,Wolf Pack Brewing Co. ,West Yellowstone,MT,Classic Irish-Style Dry Stout ,2003
4116,Gold,Up All Night Espresso Stout,West Brothers Brewery ,Eugene,OR,Coffee Flavored Beer,2003
4117,Silver,Merlin's Black Magic,Rocky River Brewing Co. - Ohio ,Rocky River,OH,Coffee Flavored Beer,2003
4118,Bronze,Maxwell's Dry Stout,Basil Ts Brewpub & Italian Grill  ,Red Bank,NJ,Coffee Flavored Beer,2003
4119,Gold,Buster Nut Brown,Ska Brewing Co.,Durango,CO,English-Style Brown Ale,2003
4120,Silver,Pete's Wicked Ale,Pete's Brewing Co.,San Antonio,TX,English-Style Brown Ale,2003
4121,Bronze,Saint Arnold Brown Ale,Saint Arnold Brewing Co.,Houston,TX,English-Style Brown Ale,2003
4122,Gold,E.J. Phair I.P.A,E.J. Phair Brewing Co. ,Concord,CA,English-Style India Pale Ale,2003
4123,Silver,Man Beer,Bull and Bush Pub and Brewery,Denver,CO,English-Style India Pale Ale,2003
4124,Bronze,Squatters IPA,Utah Brewers Cooperative,Salt Lake City,UT,English-Style India Pale Ale,2003
4125,Gold,Chasing Tail Ale,Squatters Pub Brewery ,Salt Lake City,UT,English-Style Summer Ale,2003
4126,Silver,Avalon Blonde,Angelic Brewing Co.,Madison,WI,English-Style Summer Ale,2003
4127,Bronze,El Toro Oro Golden Ale,El Toro Brewing Co.,Morgan Hill,CA,English-Style Summer Ale,2003
4128,Gold,Emmett's Dunkel,Emmett's Tavern & Brewing Co. ,West Dundee,IL,European-Style Dark/Muchner Dunkel ,2003
4129,Silver,Penn Dark,Pennsylvania Brewing Co.,Pittsburgh,PA,European-Style Dark/Muchner Dunkel ,2003
4130,Bronze,Dunkel,Iron Hill Brewery & Restaurant - West Chester ,West Chester,PA,European-Style Dark/Muchner Dunkel ,2003
4131,Gold,Michelob,"Anheuser-Busch, Inc",Saint Louis,MO,European-Style Pilsener,2003
4132,Silver,Ortlieb's Select 69 Lager,Ortlieb's Brewery & Grille ,Pottstown,PA,European-Style Pilsener,2003
4133,Bronze,Wort Hog Dort,Bluegrass Brewing Co.,Louisville,KY,European-Style Pilsener,2003
4134,Gold,Ninkasi,Boscos Brewing Co.,Memphis,TN,Experimental Beer,2003
4135,Silver,Randy's Grand Cru,Aiken Brewing Co. ,Aiken,SC,Experimental Beer,2003
4136,Bronze,Trappist Pale Ale,McKenzie Brew House,Glen Mills,PA,Experimental Beer,2003
4137,Gold,The Wise ESB,Elysian Brewing Co.,Seattle,WA,Extra Special Bitter or Strong Bitter,2003
4138,Silver,Barbarians Best Bitter,Far West Brewing Co. ,Redmond,WA,Extra Special Bitter or Strong Bitter,2003
4139,Bronze,Brown's Pt. ESB,Harmon Restaurant & Brewery ,Tacoma,WA,Extra Special Bitter or Strong Bitter,2003
4140,Gold,Black Bear XX Stout,Alameda Brewing Co.,Portland,OR,Foreign (Export)-Style Stout,2003
4141,Silver,Shot Tower Stout,21st Amendment Brewery Café,San Francisco,CA,Foreign (Export)-Style Stout,2003
4142,Bronze,Obsidian Stout,Deschutes Brewery ,Bend,OR,Foreign (Export)-Style Stout,2003
4143,Gold,Saison de Brooklyn,Brooklyn Brewery (The),Brooklyn,NY,French-and Belgian-Style Saison  ,2003
4144,Silver,Artisan Saison,Rocky River Brewing Co. - Ohio ,Rocky River,OH,French-and Belgian-Style Saison  ,2003
4145,Bronze,Saison,McKenzie Brew House ,Glen Mills,PA,French-and Belgian-Style Saison  ,2003
4146,Gold,Belgian Red,New Glarus Brewing Co.,New Glarus,WI,Garden Beer (Fruit & Vegetable)  ,2003
4147,Silver,Raspberry Tart,New Glarus Brewing Co.,New Glarus,WI,Garden Beer (Fruit & Vegetable)  ,2003
4148,Bronze,Black Cherry Stout,Main Street Brewery  ,Las Vegas,NV,Garden Beer (Fruit & Vegetable)  ,2003
4149,Gold,Otter Creek Copper Ale,Otter Creek Brewing/Wolaver's Organic Ales ,Middlebury,VT,German-Style Brown Ale/Dusseldorf-Style,2003
4150,Silver,Ettinger Amber,Laurelwood Public House & Brewery ,Portland,OR,German-Style Brown Ale/Dusseldorf-Style,2003
4151,Bronze,All the Way Alt,Desert Edge Brewery ,Salt Lake City,UT,German-Style Brown Ale/Dusseldorf-Style,2003
4152,Gold,Sled Dog Trippelbock Reserve,Wagner Valley Brewing Co. ,Lodi,NY,German-Style Doppelbock,2003
4153,Silver,Incinerator Doppelbock,Pumphouse Brewery & Restaurant ,Longmont,CO,German-Style Doppelbock,2003
4154,Bronze,Broken Keg,Port Brewing Co. Pizza Port Carlsbad ,Carlsbad,CA,German-Style Doppelbock,2003
4155,Gold,Oak Creek Hefeweizen,Oak Creek Brewing Co. ,Sedona,AZ,German-Style Hefeweizen  ,2003
4156,Silver,In-Heat Wheat,Flying Dog Brewery,Denver,CO,German-Style Hefeweizen  ,2003
4157,Bronze,Sweet Spot Hefe,Oggi's Pizza & Brewing Co.,San Diego,CA,German-Style Hefeweizen  ,2003
4158,Gold,Atomic Blonde,Blue Corn Café & Brewery ,Albuquerque,NM,German-Style Kölsch/Köln-Style Kölsch ,2003
4159,Silver,Bendsch,Deschutes Brewery ,Bend,OR,German-Style Kölsch/Köln-Style Kölsch ,2003
4160,Bronze,Lighthouse Ale,Oyster Bar Bistro & Brewery (The),Fort Wayne,IN,German-Style Kölsch/Köln-Style Kölsch ,2003
4161,Gold,Oktoberfest,Great Dane Pub & Brewing Co. (The),Madison,WI,German-Style Märzen/Oktoberfest,2003
4162,Bronze,Stewart's Oktoberfest,Stewart's Brewing Co. ,Bear,DE,German-Style Märzen/Oktoberfest,2003
4163,Gold,Pinch Hit Pilsner,Sandlot Brewery at Coors Field,Denver,CO,German-Style Pilsener,2003
4164,Silver,RedRock Pilsner,Redrock Brewing Co.,Salt Lake City,UT,German-Style Pilsener,2003
4165,Bronze,Pikeland - Pils,Sly Fox Brewhouse & Eatery ,Phoenixville,PA,German-Style Pilsener,2003
4166,Bronze,Black Forest Schwarzbier,Squatters Pub Brewery ,Salt Lake City,UT,German-Style Schwarzbier,2003
4167,Gold,Dunkel Weizen,Unlikely Cowboy Restaurant & Brewery (The),Scottsdale,AZ,German-Style Wheat Ale,2003
4168,Silver,Berliner Weisse,Nodding Heading Brewing Co.,Philadelphia,PA,German-Style Wheat Ale,2003
4169,Bronze,John Jacob Jingleheimer Schmidt Dunkeldoppelhefe,Great Dane Pub & Brewing Co. (The),Madison,WI,German-Style Wheat Ale,2003
4170,Gold,"Widmer Blonde Ale,",Widmer Brothers Brewing Co.,Portland,OR,Golden or Blonde Ale,2003
4171,Silver,Redhook Blonde,Redhook Ale Brewery ,Woodinville,WA,Golden or Blonde Ale,2003
4172,Bronze,Mother Lode Golden,Laurelwood Public House & Brewery ,Portland,OR,Golden or Blonde Ale,2003
4173,Gold,Camomellow,Issaquah Brewhouse ,Issaquah,WA,Herb and Spice Beer,2003
4174,Silver,Heather Ale,Amherst Brewing Co.,Amherst,MA,Herb and Spice Beer,2003
4175,Bronze,Cinco de Mayo Jalapeno Lager,Rock Bottom Breweries ,Braintree,MA,Herb and Spice Beer,2003
4176,Gold,Frank Double I.P.A,Port Brewing Co. Pizza Port Carlsbad ,Carlsbad,CA,Imperial or Double India Pale Ale,2003
4177,Silver,Hop 15,Pizza Port - Solana Beach,Solana Beach,CA,Imperial or Double India Pale Ale,2003
4178,Bronze,Imperor IPA,BJ's Restaurant & Brewery - Chandler,Chandler,AZ,Imperial or Double India Pale Ale,2003
4179,Gold,Russian Imperial Stout,Iron Hill Brewery & Restaurant - Newark ,Newark,DE,Imperial Stout ,2003
4180,Silver,Backdraft Imperial Stout,Pumphouse Brewery & Restaurant,Longmont,CO,Imperial Stout ,2003
4181,Bronze,Siberian Night,Thirsty Dog Brewing Co. ,Akron ,OH,Imperial Stout ,2003
4182,Gold,Thoroughbred Red,Aiken Brewing Co. ,Aiken,SC,Irish-Style Red Ale,2003
4183,Silver,St. James Irish Red,Walnut Brewery ,Boulder,CO,Irish-Style Red Ale,2003
4184,Bronze,Lumberjack Red Ale,Rock Bottom Brewery - Bellevue ,Bellevue,WA,Irish-Style Red Ale,2003
4185,Gold,Augsburger Golden,Stevens Point Brewery ,Stevens Point,WI,Munchner-Style Helles,2003
4186,Silver,Saint Arnold Summer Pils,Saint Arnold Brewing Co.,Houston,TX,Munchner-Style Helles,2003
4187,Bronze,Helles of a Play,Sandlot Brewery at Coors Field,Denver,CO,Munchner-Style Helles,2003
4188,Gold,O'Doul’s,"Anheuser-Busch, Inc",Saint Louis,MO,Non-Alcoholic (Beer) Malt Beverage,2003
4189,Silver,O'Doul’s Amber,"Anheuser-Busch, Inc",Saint Louis,MO,Non-Alcoholic (Beer) Malt Beverage,2003
4190,Gold,Stewart's Barleywine,Stewart's Brewing Co. ,Bear,DE,Old Ale/Strong Ale,2003
4191,Silver,Hibernation Ale,Great Divide Brewing Co.,Denver,CO,Old Ale/Strong Ale,2003
4192,Bronze,Old Stock Ale,North Coast Brewing Co. Inc,Ft. Bragg,CA,Old Ale/Strong Ale,2003
4193,Gold,Old Sol,Big Time Brewing Co.,Seattle,WA,Other Strong Ale or Lager,2003
4194,Silver,Full Sail Capsize,Full Sail Brewing Co.,Hood River,OR,Other Strong Ale or Lager,2003
4195,Bronze,Summit Oktoberfest,Summit Brewing Co.,Saint Paul,MN,Other Strong Ale or Lager,2003
4196,Gold,1535 Pearl Street Porter,Mountain Sun Pub and Brewery ,Boulder,CO,Robust Porter,2003
4197,Silver,Perseus Porter,Elysian Brewing Co.,Seattle,WA,Robust Porter,2003
4198,Bronze,Black Marlin Porter,Ballast Point Brewing Co. ,San Diego,CA,Robust Porter,2003
4199,Gold,Right On Rye,Rock Bottom Breweries ,Bethesda,MD,Rye Beer,2003
4200,Silver,Tailwind Rye,Blind Tiger Brewery & Restaurant,Topeka,KS,Rye Beer,2003
4201,Bronze,Rocky Mountain Rye,Smuggler's Brewpub ,Telluride,CO,Rye Beer,2003
4202,Gold,Pete's Wicked Ale,Pete's Brewing Co.,San Antonio,TX,Scottish-Style Ale ,2003
4203,Silver,60 Shilling,Nodding Heading Brewing Co.,Philadelphia,PA,Scottish-Style Ale ,2003
4204,Bronze,Kiltlifter,Four Peaks Brewing Co.,Tempe,AZ,Scottish-Style Ale ,2003
4205,Gold,Black Silk,Bluegrass Brewing Co.,Louisville,KY,Smoke-Flavored Beer,2003
4206,Silver,DeGroen's Rauchbock,Baltimore Brewing Co.,Baltimore,MD,Smoke-Flavored Beer,2003
4207,Bronze,Alaskan Smoked Porter,Alaskan Brewing and Bottling Co.,Juneau,AK,Smoke-Flavored Beer,2003
4208,Gold,California Crisp,Thirsty Dog Brewing Co. ,Akron ,OH,Specialty Beer,2003
4209,Silver,Ginger Shandy,McCoy's Public House ,Kansas City,MO,Specialty Beer,2003
4210,Bronze,Maplenut Brown Ale,Tommyknocker Brewery ,Idaho Springs,CO,Specialty Beer,2003
4211,Gold,Honey Act Your Sage,Flossmoor Station Brewing Co.,Flossmoor,IL,Specialty Honey Beer,2003
4212,Silver,Michelob Honey Lager,"Anheuser-Busch, Inc",Saint Louis,MO,Specialty Honey Beer,2003
4213,Bronze,Mandarin Nectar,Alpine Beer Co.,Alpine,CA,Specialty Honey Beer,2003
4214,Gold,Fat Bastard,Silver City Brewing Co.,Silverdale,WA,Strong Scotch Ale,2003
4215,Silver,Lion Slayer,RAM International/Big Horn Brewing ,Lakewood,WA,Strong Scotch Ale,2003
4216,Bronze,Loyal Duke Scotch Ale,"Amicas Pizza, Microbrews and More",Salida,CO,Strong Scotch Ale,2003
4217,Gold,Snake River Lager,Snake River Brewing Co.,Jackson,WY,Vienna-Style Lager,2003
4218,Silver,Dos Rios,Glenwood Canyon Brewing Co.,Glenwood Springs,CO,Vienna-Style Lager,2003
4219,Bronze,Schild Brau Amber,Millstream Brewing Co.,Amana,IA,Vienna-Style Lager,2003
4220,Gold,Red Line Imperial Bourbon Stout,Rock Bottom Brewery - Chicago ,Chicago,IL,Wood-and Barrel-Aged Beer  ,2003
4221,Silver,Enigma,New Glarus Brewing Co.,New Glarus,WI,Wood-and Barrel-Aged Beer  ,2003
4222,Bronze,Cherry Beer,New Glarus Brewing Co.,New Glarus,WI,Wood-and Barrel-Aged Beer  ,2003
4223,Gold,Crooked River ESB,Frederick Brewing Co.,Frederick,MD,(Extra Special) Strong Bitter,2002
4224,Silver,Best Bitter,Boundary Bay Brewery  ,Bellingham,WA,(Extra Special) Strong Bitter,2002
4225,Bronze,Sweetwater Tavern Pale Ale,Sweetwater Tavern & Brewery,Centreville,VA,(Extra Special) Strong Bitter,2002
4226,Gold,Henry Saxer Dark Lager,Portland Brewing Co.,Portland,OR,American Dark Lager,2002
4227,Silver,Leinenkugel's Creamy Dark,Jacob Leinenkugel Brewing Co.,Chippewa Falls,WI,American Dark Lager,2002
4228,Bronze,Shiner Bock,Spoetzl Brewery (The),San Antonio,TX,American Dark Lager,2002
4229,Gold,Hoptown Paint the Town Red,Hoptown Brewing Co. ,Pleasanton,CA,American-Style Amber / Red Ale,2002
4230,Silver,Ruedrich's Red Seal Ale,North Coast Brewing Co. Inc,Ft. Bragg,CA,American-Style Amber / Red Ale,2002
4231,Bronze,Amber Waves Ale,Capitol City Brewing Co.,Washington,DC,American-Style Amber / Red Ale,2002
4232,Gold,Über Brau,Big Horn Brewing Co.  ,Lakewood,WA,American-Style Amber Lager,2002
4233,Silver,Wilhelm Sebald's Oktoberfest Bier,Spanish Springs Brewing  ,The Villages,FL,American-Style Amber Lager,2002
4234,Bronze,August Schell Firebrick,August Schell Brewing Co.,New Ulm,NM,American-Style Amber Lager,2002
4235,Gold,Kick-Ass Brown,C.H. Evans Brewing Co. at the Albany Pump Station,Albany,NY,American-Style Brown Ale,2002
4236,Silver,Bailey's American Brown,Hub City Brewery ,Lubbock,TX,American-Style Brown Ale,2002
4237,Bronze,Slow Down Brown,Il Vicino Brewing Co.,Albuquerque,NM,American-Style Brown Ale,2002
4238,Gold,Drake's IPA,Drakes Brewing Co.,San Leandro,CA,American-Style India Pale Ale,2002
4239,Silver,Ponderosa IPA,Prescott Brewing Co.,Prescott,AZ,American-Style India Pale Ale,2002
4240,Bronze,Scarlet Fire,Big Time Brewing Co.,Seattle,WA,American-Style India Pale Ale,2002
4241,Gold,Busch,"Anheuser-Busch, Inc",Fort Collins,CO,American-Style Lager,2002
4242,Silver,Budweiser,"Anheuser-Busch, Inc",Fort Collins,CO,American-Style Lager,2002
4243,Bronze,Old Style,Heileman Brewing Co. ,San Antonio,TX,American-Style Lager,2002
4244,Gold,Red Dog,Plank Road Brewery,Milwaukee,WI,American-Style Lager/Ale or Cream,2002
4245,Silver,Hamm's,Hamm's Brewing Co.  ,Milwaukee,WI,American-Style Lager/Ale or Cream,2002
4246,Bronze,Genesee Cream Ale,High Falls Brewing Co. ,Rochester,NY,American-Style Lager/Ale or Cream,2002
4247,Gold,Lone Star Light,Lone Star Brewing Co.  ,San Antonio,TX,American-Style Light Lager,2002
4248,Silver,Schaefer Light,Schaefer Brewing Co.  ,San Antonio,TX,American-Style Light Lager,2002
4249,Bronze,Rainier Light,Rainier Brewing Co. Inc ,San Antonio,TX,American-Style Light Lager,2002
4250,Gold,Rye Pale Ale,Terrapin Beer Co.  ,Athens,GA,American-Style Pale Ale,2002
4251,Silver,Piranha Pale Ale,BJ's Restaurant & Brewery  ,Portland,OR,American-Style Pale Ale,2002
4252,Bronze,IPA,SLO Brewing Co.,San Luis Obispo,CA,American-Style Pale Ale,2002
4253,Gold,Schlitz Malt Liquor,Schlitz Brewing Co.  ,San Antonio,TX,American-Style Premium Lager,2002
4254,Silver,Monterey Lager,Spanish Peaks Brewing Co. ,King City,CA,American-Style Premium Lager,2002
4255,Bronze,Coors Original,Coors Brewing Co.,Golden,CO,American-Style Premium Lager,2002
4256,Gold,Schmidt's Ice,Rainier Brewing Co. Inc ,San Antonio,TX,American-Style Specialty Lager,2002
4257,Silver,Red Bull,Schlitz Brewing Co.  ,San Antonio,TX,American-Style Specialty Lager,2002
4258,Bronze,St. Ides Malt Liquor,St. Ides Brewing Co.   ,San Antonio,TX,American-Style Specialty Lager,2002
4259,Gold,Raw Wheat,Blind Tiger Brewery & Restaurant,Topeka,KS,American-Style Wheat Beer,2002
4260,Silver,Desert Wheat,P.H. Woods Restaurant & Brewery ,Moreno Valley,CA,American-Style Wheat Beer,2002
4261,Bronze,Shiner Winter Ale,Spoetzl Brewery (The),San Antonio,TX,American-Style Wheat Beer,2002
4262,Gold,Auld Gnarley Head Barleywine,Wild Duck Brewery & Restaurant  ,Eugene,OR,Barley Wine-Style Ale,2002
4263,Silver,Old Bounder,Boundary Bay Brewery  ,Bellingham,WA,Barley Wine-Style Ale,2002
4264,Bronze,Old Herb Barleywine,Southampton Publick House  ,Southampton,NY,Barley Wine-Style Ale,2002
4265,Gold,Allagash White,Allagash Brewing Co.,Portland,ME,Belgian- & French-Style Ale,2002
4266,Silver,Artisan Saison,Rocky River Brewing Co.,Rocky River,OH,Belgian- & French-Style Ale,2002
4267,Bronze,Spring Saison,Engine House #9 Restaurant & Brewery  ,Tacoma,WA,Belgian- & French-Style Ale,2002
4268,Gold,Double 02 Bear,Big Bear Brewing Co.,Coral Springs,FL,Belgian-Style Abbey Ale,2002
4269,Silver,Daisy Chain,Chicago Brewing Co.,Las Vegas,NV,Belgian-Style Abbey Ale,2002
4270,Bronze,Tripel,Iron Hill Brewery & Restaurant,West Chester,PA,Belgian-Style Abbey Ale,2002
4271,Gold,La Folie,New Belgium Brewing Co.,Fort Collins,CO,Belgian-Style Sour Ale,2002
4272,Silver,Lip Burner Lamb-Beak,Bitter End Bistro & Brewery  ,Austin,TX,Belgian-Style Sour Ale,2002
4273,Bronze,Flanders Red Ale,Southampton Publick House  ,Southampton,NY,Belgian-Style Sour Ale,2002
4274,Gold,Temptation,Russian River Brewing Co.,Guerneville,CA,Belgian-Style Strong Specialty Ales,2002
4275,Silver,Millenium Grand Cru,BJ's Restaurant & Brewery ,Portland,OR,Belgian-Style Strong Specialty Ales,2002
4276,Bronze,Trouble,Rock Bottom Breweries ,Bethesda,MD,Belgian-Style Strong Specialty Ales,2002
4277,Gold,Full Suspension Pale Ale,Utah Brewers Cooperative,Salt Lake City,UT,Bitter,2002
4278,Silver,8th Street Ale,Four Peaks Brewing Co.,Tempe,AZ,Bitter,2002
4279,Bronze,Blue Heron Pale Ale,BridgePort Brewing Co. ,Portland,OR,Bitter,2002
4280,Gold,Saxer Bock,Portland Brewing Co.,Portland,OR,Bock,2002
4281,Silver,Get Off My Bock,Blue Corn Café & Brewery ,Albuquerque,NM,Bock,2002
4282,Bronze,Mactavish's Excellent Barvarian Adventure,Sandlot Brewery at Coors Field,Denver,CO,Bock,2002
4283,Gold,Cleveland Chophouse Bohemian Pilsener,ChopHouse and Brewery-Cleveland,Cleveland,OH,Bohemian Style Pilsener ,2002
4284,Silver,Barmen Pilsener,Sandlot Brewery at Coors Field,Denver,CO,Bohemian Style Pilsener ,2002
4285,Bronze,BoHo Pilsner,Nodding Heading Brewing Co.,Philadelphia,PA,Bohemian Style Pilsener ,2002
4286,Gold,Sweetwater Exodus Porter,Sweetwater Brewing Co.,Atlanta,GA,Brown Porter,2002
4287,Silver,Pioneer Porter,Fredericksburg Brewing Co.,Fredericksburg,TX,Brown Porter,2002
4288,Bronze,Black Butte Porter,Deschutes Brewery ,Bend,OR,Brown Porter,2002
4289,Gold,Annadel Pale Ale,Third Street AleWorks,Santa Rosa,CA,Classic English Style Pale Ale ,2002
4290,Silver,Urban Wilderness,Sleeping Lady Brewing Co/Snow Goose Restaurant,Anchorage,AK,Classic English Style Pale Ale ,2002
4291,Bronze,Denver Pale Ale,Great Divide Brewing Co.,Denver,CO,Classic English Style Pale Ale ,2002
4292,Gold,Blarney Sister's Dry Irish Stout,Third Street AleWorks,Santa Rosa,CA,Classic Irish-Style Dry Stout ,2002
4293,Silver,McDoogin's Irish Stout,Thirsty Dog Grille and Brewery ,Akron/Canton,OH,Classic Irish-Style Dry Stout ,2002
4294,Bronze,Lord Stanley,Steelhead Brewing Co.,Irvine,CA,Classic Irish-Style Dry Stout ,2002
4295,Gold,Maxwell's Dry Stout,Basil Ts Brewpub & Italian Grill  ,Red Bank,NJ,Coffee Flavored Beer,2002
4296,Silver,Cambridge Espresso Stout,John Harvard’s Brew House,Cambridge,MA,Coffee Flavored Beer,2002
4297,Bronze,Jamaican Blue Porter,Big Rock Chop & Brew House ,Birmingham,MI,Coffee Flavored Beer,2002
4298,Gold,Grog,Nodding Heading Brewing Co.,Philadelphia,PA,English-Style Brown Ale,2002
4299,Silver,Old Elk Brown Ale,Walnut Brewery ,Boulder,CO,English-Style Brown Ale,2002
4300,Bronze,Buster Nut Brown,Ska Brewing Co.,Durango,CO,English-Style Brown Ale,2002
4301,Gold,IPA,Firestone Walker Brewing Co.,Paso Robles,CA,English-Style India Pale Ale,2002
4302,Silver,SLO Progress,SLO Brewing Co.,San Luis Obispo,CA,English-Style India Pale Ale,2002
4303,Bronze,Newcomb's IPA,McCoys Public House & BrewKitchen ,Kansas City,MO,English-Style India Pale Ale,2002
4304,Gold,Voodoo's Child,Red Star Brewery & Grille  ,Greensburg,PA,European-Style Dark / Munchner Dunkel,2002
4305,Silver,Dunkel,Moosejaw Pizza and Brewing  ,Wisconsin Dells,WI,European-Style Dark / Munchner Dunkel,2002
4306,Bronze,Obscura,Mammoth Brewing,Mammoth,CA,European-Style Dark / Munchner Dunkel,2002
4307,Gold,Tenaya Creek Pilsner,Tenaya Creek  ,Las Vegas,NV,European-Style Pilsener,2002
4308,Silver,Hermanbraü,Sandlot Brewery at Coors Field,Denver,CO,European-Style Pilsener,2002
4309,Bronze,Henry Weinhard's Private Reserve,Henry Weinhard's Brewing ,Milwaukee,WI,European-Style Pilsener,2002
4310,Gold,Berliner Weisse,Southampton Publick House  ,Southampton,NY,Experimental Beer,2002
4311,Silver,Juniper Rye,BJ's Restaurant & Brewery  ,Chandler,AZ,Experimental Beer,2002
4312,Bronze,Raspberry Tart,New Glarus Brewing Co.,New Glarus,WI,Experimental Beer,2002
4313,Gold,Black Hole XXX Stout,Chelsea Brewing Co.,New York,NY,Foreign Style Stout ,2002
4314,Silver,Zonker Stout,Snake River Brewing Co.,Jackson,WY,Foreign Style Stout ,2002
4315,Bronze,Gaston's Swollen Delta Stout,Redfish New Orleans Brewhouse  ,Boulder,CO,Foreign Style Stout ,2002
4316,Gold,Magnolia's Peach,BJ's Restaurant & Brewery ,Boulder,CO,Fruit And Vegetable Beer,2002
4317,Silver,Belgian Red,New Glarus Brewing Co.,New Glarus,WI,Fruit And Vegetable Beer,2002
4318,Bronze,Little Pookie's Old Ale,Steelhead Brewing Co.,Eugene,OR,Fruit And Vegetable Beer,2002
4319,Gold,Widmer Alt,Widmer Brothers Brewing Co.,Portland,OR,German-Style Brown Ale,2002
4320,Silver,Old Town Brown,Chicago Brewing Co.,Las Vegas,NV,German-Style Brown Ale,2002
4321,Bronze,Southampton Secret Ale,Southampton Publick House  ,Southampton,NY,German-Style Brown Ale,2002
4322,Gold,Samuel Adams Double Bock,Samuel Adams Brewing Co. ,Boston,MA,German-Style Doppelbock,2002
4323,Silver,Liberator Doppelbock,Angelic Brewing Co.,Madison,WI,German-Style Doppelbock,2002
4324,Bronze,Broken Keg Icebock,Pizza Port - Carlsbad,Carlsbad,CA,German-Style Doppelbock,2002
4325,Gold,Capitol Kolsch,Capitol City Brewing Co.,Washington,DC,German-Style Kolsch / Koln-Style Kolsch,2002
4326,Silver,# 10 Kolsch,Wolf Pack Brewing Co. ,West Yellowstone,MT,German-Style Kolsch / Koln-Style Kolsch,2002
4327,Bronze,Golden Arm,Piece Brewery ,Chicago,IL,German-Style Kolsch / Koln-Style Kolsch,2002
4328,Gold,Octoberfest,Empire Brewing Co.,Rochester,NY,German-Style Märzen/Oktoberfest,2002
4329,Silver,Trout Brook Octoberfest Lager,Trout Brook Brewing Co.  ,Hartford,CT,German-Style Märzen/Oktoberfest,2002
4330,Bronze,Great Dane Oktoberfest,Great Dane Pub & Brewing Co. (The),Madison,WI,German-Style Märzen/Oktoberfest,2002
4331,Gold,Hops Pilsener,"Hops Restaurant, Bar and Brewery ",Tampa,FL,German-Style Pilsener,2002
4332,Silver,Goose Island Pils,Goose Island Beer Co. ,Chicago,IL,German-Style Pilsener,2002
4333,Gold,Schwarzbier,Empire Brewing Co.,Syracuse,NY,German-Style Schwarzbier,2002
4334,Silver,Black Forest Schwarzbier,Squatters Pub Brewery  ,Salt Lake City,UT,German-Style Schwarzbier,2002
4335,Bronze,Springfield Schwarzbier,John Harvard’s Brew House,Springfield,PA,German-Style Schwarzbier,2002
4336,Gold,DeGroen's Weizen,Baltimore Brewing Co.,Baltimore,MD,German-Style Wheat Ale,2002
4337,Silver,Barley's Boulder Gold Hefeweizen,Barley's Casino & Brewing Co. ,Henderson,NV,German-Style Wheat Ale,2002
4338,Bronze,Penn Weizen,Pennsylvania Brewing Co.,Pittsburgh,PA,German-Style Wheat Ale,2002
4339,Gold,Goose Island Summertime,Goose Island Beer Co.  ,Chicago,IL,Golden or Blonde Ale,2002
4340,Silver,Sweetwater 420 Extra Pale Ale,Sweetwater Brewing Co.,Atlanta,GA,Golden or Blonde Ale,2002
4341,Bronze,Alaskan Pale,Alaskan Brewing and Bottling Co.,Juneau,AK,Golden or Blonde Ale,2002
4342,Gold,Upland Wheat Ale,Upland Brewing Co.,Bloomington,IN,Herb and Spice Beer,2002
4343,Silver,Mocha Joe,Sports City Café & Brewery ,La Jolla,CA,Herb and Spice Beer,2002
4344,Bronze,Lemongrass Wheat,Outer Banks Brewing Co.  ,Kill Devil Hills,NC,Herb and Spice Beer,2002
4345,Gold,Old Rasputin,North Coast Brewing Co. Inc,Ft. Bragg,CA,Imperial Stout,2002
4346,Silver,Raven Maniac Stout,Prescott Brewing Co.,Prescott,AZ,Imperial Stout,2002
4347,Bronze,No Disput'n Putin Russian Imperial Stout,Michigan Brewing Co.  ,Webberville,MI,Imperial Stout,2002
4348,Gold,Henry Weinhard's Amber Ale,Henry Weinhard's Brewing ,Milwaukee,WI,Irish-Style Red Ale,2002
4349,Silver,Lumberjack Red Ale,Rock Bottom Breweries ,Bellevue,WA,Irish-Style Red Ale,2002
4350,Bronze,Irish Red,Hub City Brewery  ,Lubbock,TX,Irish-Style Red Ale,2002
4351,Gold,Helles in a Handbasket,Hub City Brewery ,Lubbock,TX,Munchner-Style Helles,2002
4352,Silver,Helles Lager,Firestone Walker Brewing Co.,Paso Robles,CA,Munchner-Style Helles,2002
